DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Região/UF de residência e Mês notificação
Período:2014-2019
"Região/UF de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"Região Norte";22037;26290;26205;20988;16270;9396;6306;7097;12020;15183;16640;17835;196267
".. Rondônia";2787;3338;2762;1617;893;553;478;306;247;445;896;1650;15972
".. Acre";5389;4179;2916;1771;1459;1080;1119;2212;7784;9975;9761;7927;55572
".. Amazonas";2842;3449;4161;4321;2612;1937;1309;1131;1064;1304;1840;2487;28457
".. Roraima";226;162;274;266;333;379;394;490;484;443;600;426;4477
".. Pará";4615;6836;7209;5326;4224;2258;1564;1823;1551;1579;1637;2145;40767
".. Amapá";673;1078;1670;1234;1232;628;418;376;404;741;574;290;9318
".. Tocantins";5505;7248;7213;6453;5517;2561;1024;759;486;696;1332;2910;41704
"Região Nordeste";64219;112677;162038;172265;176657;120350;85356;57347;40032;33393;41748;47560;1113642
".. Maranhão";3447;7533;10925;10548;6527;3164;2184;1628;940;789;856;1278;49819
".. Piauí";1258;1745;3961;7093;8546;5493;3555;1620;896;607;521;621;35916
".. Ceará";6600;11673;21123;37570;42603;30539;18312;11059;5765;3530;3774;3623;196171
".. Rio Grande do Norte";6433;20477;30849;24036;22268;15703;11997;8656;5176;3429;2709;3073;154806
".. Paraíba";6084;8415;14274;15657;17665;11838;8127;5254;2834;2284;1926;4494;98852
".. Pernambuco";20575;24396;31714;33996;32914;20256;12483;9085;9340;9678;17692;20675;242804
".. Alagoas";5295;6107;7675;8467;11780;11512;10642;7311;5039;4833;5327;3822;87810
".. Sergipe";928;1565;1772;1823;1882;1552;2333;2399;2335;1859;2338;1380;22166
".. Bahia";13599;30766;39745;33075;32472;20293;15723;10335;7707;6384;6605;8594;225298
"Região Sudeste";214968;448789;737758;864621;645959;210095;69165;31288;23584;26093;35682;74442;3382444
".. Minas Gerais";79557;183515;279703;351423;278048;81024;18188;6558;5598;5902;8952;22811;1321279
".. Espírito Santo";18396;18629;22137;22727;23885;20187;14166;7988;6116;6650;7267;12019;180167
".. Rio de Janeiro";24749;24932;35175;45062;39516;19053;9755;5971;4001;3756;5076;11402;228448
".. São Paulo";92266;221713;400743;445409;304510;89831;27056;10771;7869;9785;14387;28210;1652550
"Região Sul";12747;26505;44295;51334;31184;9946;3649;1758;1463;2164;4549;10389;199983
".. Paraná";12007;24123;39024;45745;28097;9113;3342;1595;1333;2007;4345;10000;180731
".. Santa Catarina";464;1922;3573;3257;1713;517;192;88;75;87;133;198;12219
".. Rio Grande do Sul";276;460;1698;2332;1374;316;115;75;55;70;71;191;7033
"Região Centro-Oeste";94776;138687;175071;169228;156023;86843;33552;19618;15577;19434;27717;46958;983484
".. Mato Grosso do Sul";21543;26239;32685;26159;12175;5128;2024;1227;1110;1560;4610;11977;146437
".. Mato Grosso";11363;12766;10924;9314;8310;5188;2826;2286;1982;2194;3598;7762;78513
".. Goiás";58055;90973;119131;118378;115814;62305;24151;14516;11486;14623;18235;25484;673151
".. Distrito Federal";3815;8709;12331;15377;19724;14222;4551;1589;999;1057;1274;1735;85383
"Ignorado/Exterior";19;52;35;48;35;15;6;4;8;6;6;17;251
"Total";408766;753000;1145402;1278484;1026128;436645;198034;117112;92684;96273;126342;197201;5876071
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, inclusive os casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo PNCD (Programa Nacional de Controle da Dengue) em sua série histórica, que para tal, realiza
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 27/01/2020.
 *Data da publicação dos dados 08/2019.
 
